No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
EMP000443,"Embutidos Goikoa, S.A.","EMBUTIDOS GOIKOA, S.A.",Elaboración de productos cárnicos y de volatería,1013,1,0,1,,1498.97
EMP002866,"Energías Fotovoltaicas de Navarra, S.L.",FOTONA,Producción de energía eléctrica de otros tipos,3519,1,0,1,,393.25
EMP004900,Enerjoin S.L.,ENERJOIN S.L.,Intermediarios del comercio de productos diversos,4619,1,0,1,,2161.49
EMP003117,"Entecnia Consulting, S.L.","ENTECNIA CONSULTING, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,,0,0,3,-474.89
EMP004415,"Eo6 Ingeniería, S.L.P.","EO6 INGENIERÍA, S.L.P.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,,0,0,1,278.30
EMP004803,"EOS Ingeniería, S.L.","EOS INGENIERÍA, S.L.",Producción de energía eléctrica de otros tipos,3519,2,0,2,,6702.18
EMP004484,"Eos Project Management, S.L.","EOS PROJECT MANAGEMENT, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,5,2,3,,16053.14
EMP003574,"Eosol Energy, S.L.","EOSOL ENERGY, S.L.",Construcción de otros proyectos de ingeniería civil n.c.o.p.,4299,2,0,2,,10175.94
EMP000462,"Errioxa, S.L.","ERRIOXA, S.L.",Otras actividades de consultoría de gestión empresarial,7022,2,0,2,,7670.22
EMP004870,"Escaleras Aguerri, S.L.","ESCALERAS AGUERRI, S.L.",Fabricación de estructuras metálicas y sus componentes,2511,,0,0,1,278.30
EMP004720,"Escuela Tecnológica Creativa, S. MCoop.","ESCUELA TECNOLÓGICA CREATIVA, S. MCOOP.",Otra educación n.c.o.p.,8559,1,0,1,,0.00
EMP000472,"Estampaciones Mayo, S.A.","ESTAMPACIONES MAYO, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,1,1,,8042.22
EMP000473,"Estampaciones Navarra, S.A.",ESNASA,"Forja, estampación y embutición de metales; metalurgia de polvos",2550,3,0,3,,28498.23
EMP002949,"Estudios de Ingeniería Adaptada, S.L.",EINA,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,,0,0,1,598.95
EMP000484,"Eulen, S.A.","EULEN, S.A.",Limpieza general de edificios,8121,1,0,1,,1763.01
EMP002095,Euskal Irrati Telebista,EITB,Actividades de programación y emisión de televisión,6020,1,0,1,,4172.93
EMP004071,Everis Belgium,EVERIS BELGIUM,Otros servicios relacionados con las tecnologías de la información y la informática,6209,4,3,1,,0.00
EMP004851,"Eversens, S.L.","EVERSENS, S.L.","Fabricación de instrumentos y aparatos de medida, verificación y navegación",2651,2,0,2,,2965.17
EMP002283,"Exposición y Conservación de Alimentos, S.A.",EXKAL,Fabricación de maquinaria de ventilación y refrigeración no doméstica,2825,12,4,8,2,75177.57
EMP003141,"Factor CO2 Integral Services, S.L.","FACTOR CO2 INTEGRAL SERVICES, S.L.",Otras actividades de consultoría de gestión empresarial,7022,1,0,1,,993.73
EMP002989,"Fagor Ederlan Tafalla, S.Coop.","FAGOR EDERLAN TAFALLA, S.COOP.",Fundición de hierro,2452,3,0,3,,14236.82
EMP004395,"Faurecia Automotive España, S.A.","FAURECIA AUTOMOTIVE ESPAÑA, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,5,0,5,,41501.48
EMP002771,"Faurecia Emissions Control Technologies,","FAURECIA EMISSIONS CONTROL TECHNOLOGIES,","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,6,2,4,,54759.43
ORG000540,Federación Batean,FEDERACIÓN BATEAN,Educación cultural,8552,1,1,0,,
ORG000527,Federación de Entidades a Favor de las Personas,FEAPS NAVARRA,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000531,Federación SiñarZubi,FEDERACIÓN SIÑARZUBI,Otra educación n.c.o.p.,8559,1,1,0,,
EMP004846,"Fico Mirrors, S.A.","FICO MIRRORS, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,0,2,,1412.22
EMP002462,Fincared 1 SL,FINCARED 1 SL,Promoción inmobiliaria,4110,,0,0,1,
EMP002296,"Fincas Martín Sanz, S.L.","FINCAS MARTÍN SANZ, S.L.",Servicios integrales a edificios e instalaciones,8110,1,1,0,,1167.25
EMP003601,"Findus España, S.L.U.","FINDUS ESPAÑA, S.L.U.",Comercio al por mayor de frutas y hortalizas,4631,5,0,5,,30235.61
EMP001096,"Florette Agrícola, S.L.","FLORETTE AGRÍCOLA, S.L.",Comercio al por mayor de frutas y hortalizas,4631,2,1,1,,1696.98
EMP003249,"Florette Ibérica, S.L.","FLORETTE IBÉRICA, S.L.",Otro procesado y conservación de frutas y hortalizas,1039,6,1,5,,17028.01
EMP000519,"Fluitecnik, S.A.","FLUITECNIK, S.A.",Fabricación de maquinaria para la industria metalúrgica,2891,1,0,1,,10699.41
EMP002299,"Fomento de Construcciones y Contratas, S.A.","FCC FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.",Recogida de residuos no peligrosos,3811,1,0,1,,5245.63
EMP000534,"Frenos Iruña, S.A.L.","FRENOS IRUÑA, S.A.L.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,4,1,3,,18596.92
EMP004843,"Freshfields Bruckhaus Deringer, LLP","FRESHFIELDS BRUCKHAUS DERINGER, LLP",Actividades jurídicas,6910,1,0,1,,393.25
ORG000240,Fundación Arfe Felipe Lecea,FUNDACIÓN ARFE FELIPE LECEA,Asistencia en establecimientos residenciales para personas mayores,8731,1,1,0,,
EMP002450,Fundación Aspace Navarra Residencial,FUNDACIÓN ASPACE NAVARRA RESIDENCIAL,Actividades de servicios sociales sin alojamiento para  personas mayores,8811,2,2,0,,
ORG000177,Fundación Cener-Ciemat,CENER,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,7219,11,7,4,,21560.20
ORG000486,Fundación Centro de Tecnologías de Interacción,VICOMTECH,Investigación y desarrollo experimental en biotecnología,7211,1,0,1,,13390.93
ORG000410,Fundación Ciganda Ferrer,FUNDACIÓN CIGANDA FERRER,Educación primaria,8520,1,1,0,,600.00
ORG000417,Fundación Elkarte,FUNDACIÓN ELKARTE,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000369,Fundacion Fundagro,FUNDACION FUNDAGRO,Otras actividades de consultoría de gestión empresarial,7022,2,0,2,,7845.60
ORG000504,Fundación Gizakia Herritar,FUNDACIÓN GIZAKIA HERRITAR,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000524,Fundación Ilundain Haritz Berri,FUNDACIÓN ILUNDAIN HARITZ BERRI,Otra educación n.c.o.p.,8559,1,1,0,,
ORG000493,Fundación Itaka-Escolapios,FUNDACIÓN ITAKA-ESCOLAPIOS,Educación cultural,8552,2,2,0,,
ORG000561,Fundación Profesionales Solidarios,FUNDACIÓN PROFESIONALES SOLIDARIOS,Otras actividades de servicios sociales sin alojamiento n.c.o.p.,8899,1,1,0,,
ORG000550,Fundación Proyecto Hombre Navarra,FUNDACIÓN PROYECTO HOMBRE NAVARRA,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000574,Fundación San Cernin,FUNDACIÓN SAN CERNIN,Otras actividades asociativas n.c.o.p.,9499,1,0,1,,3015.17
ORG000289,Fundacion Santa Lucía ADSIS,FUNDACION SANTA LUCÍA ADSIS,Otras actividades asociativas n.c.o.p.,9499,2,2,0,,
ORG000350,Fundación Secretariado Gitano,FUNDACIÓN SECRETARIADO GITANO,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000552,Fundación Tutelar de Navarra,FUTUNA,Otras actividades de servicios sociales sin alojamiento n.c.o.p.,8899,1,1,0,,430.00
ORG000113,Fundación Universidad - Sociedad,FUNDACIÓN UNIVERSIDAD - SOCIEDAD,Otras actividades de apoyo a las empresas n.c.o.p.,8299,1,1,0,3,
ORG000407,Fundación Xilema,FUNDACIÓN XILEMA,"Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia",8720,3,3,0,,
EMP003880,FZI Forschungszentrum Informatik,FZI FORSCHUNGSZENTRUM INFORMATIK,Otros servicios relacionados con las tecnologías de la información y la informática,6209,2,0,2,,
EMP003575,"Gamesa Corporación Tecnológica, S.A.",GAMESACORP,"Fabricación de motores, generadores y transformadores eléctricos",2711,1,0,1,,17786.70
EMP002671,"Gamesa Eólica, S.L.U.",GEOL,Producción de energía eléctrica de otros tipos,3519,9,0,9,,47010.48
EMP002615,"Gamesa Innovation and Technology, S.L.",GIT,"Fabricación de motores, generadores y transformadores eléctricos",2711,7,0,7,,59742.24
EMP001825,"Garbema, S.A.","GARBEMA, S.A.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,60.00
EMP003971,"Geiser Pharma, S.L.","GEISER PHARMA, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,3,0,3,,11819.94
EMP001962,"General Mills San Adrián, S.L.U.","GENERAL MILLS SAN ADRIÁN, S.L.U.",Elaboración de otros productos alimenticios n.c.o.p.,1089,11,0,11,,77354.85
EMP004232,"Geoalcali, S.L.","GEOALCALI, S.L.",Extracción de otros minerales metálicos no férreos,729,2,1,1,,5833.88
EMP002022,"Geodis Bourgey Montreuil Ibérica, S.A.","GEODIS BOURGEY MONTREUIL IBÉRICA, S.A.",Transporte de mercancías por carretera,4941,2,0,2,1,3626.00
EMP004717,Gertu Sakana Sociedad Cooperativa,GERTU SAKANA SOCIEDAD COOPERATIVA,"Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados",4752,5,2,3,,12272.41
EMP002828,"Gesinor Servicios de Prevención, S.L.L.","GESINOR SERVICIOS DE PREVENCIÓN, S.L.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,3,1,2,,2322.47
EMP000563,"Gestión Ambiental de Navarra, S.A.",GANASA,Actividades generales de la Administración Pública,8411,2,2,0,,981.50
EMP004357,"Gestión Informática de Contabilidad, S.L.",GESINCO,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,2,0,2,,
EMP004805,"Gestoría Ruiz Millán, S.L.P.","GESTORÍA RUIZ MILLÁN, S.L.P.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,,0,0,1,
EMP003291,"GKN Ayra Servicio, S.A.","GKN AYRA SERVICIO, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,4,2,2,,9719.20
EMP004335,"GKN Driveline Zumaia, S.A.","GKN DRIVELINE ZUMAIA, S.A.",Fabricación de otros productos metálicos n.c.o.p.,2599,1,0,1,,5345.39
EMP004751,"GL Research Corporation, S.L.U.","GL RESEARCH CORPORATION, S.L.U.",Otras actividades de telecomunicaciones,6190,1,0,1,,10099.41
EMP000577,"GM Vending, S.A.","GM VENDING, S.A.",Comercio al por mayor de otra maquinaria y equipo,4666,1,0,1,,513.25
INS000067,Gobierno de Navarra,GN,Actividades generales de la Administración Pública,8411,50,50,0,,
EMP001888,"Goldwyns, S.L.","GOLDWYNS, S.L.",Otras actividades de consultoría de gestión empresarial,7022,2,0,2,,11679.94
EMP000580,"Gonvauto Navarra, S.A.","GONVAUTO NAVARRA, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,1,1,,9703.22
EMP003127,"Gráficas Cems, S.L.","GRÁFICAS CEMS, S.L.",Servicios de preimpresión y preparación de soportes,1813,2,2,0,,4603.17
EMP000586,"Gráficas Estella, S. L.","GRÁFICAS ESTELLA, S. L.",Impresión de periódicos,1811,9,1,8,,53475.94
EMP003660,"Gráficas Ulzama, S.L.","GRÁFICAS ULZAMA, S.L.",Otras actividades de impresión y artes gráficas,1812,3,1,2,,12278.91
EMP004842,"Grupo Clavijo ELT, S.L.","GRUPO CLAVIJO ELT, S.L.",Fabricación de otro material y equipo eléctrico,2790,1,0,1,,393.25
EMP002110,"Grupo Fromageries Bel España, S.A.","GRUPO FROMAGERIES BEL ESPAÑA, S.A.",Elaboración de otros productos alimenticios n.c.o.p.,1089,,0,0,1,
EMP004676,"Grupo K Refrigeración, S.L.","GRUPO K REFRIGERACIÓN, S.L.",Fabricación de maquinaria de ventilación y refrigeración no doméstica,2825,8,2,6,,32529.76
EMP003140,"Grupo S21Sec Gestión, S.A.","GRUPO S21SEC GESTIÓN, S.A.",Actividades de programación informática,163,2,0,2,,19037.70
EMP001287,"GRUPODESA FASTENERS, S.A.U.","ANTIGUA COMERSIM, S.A.U.",Fabricación de otros productos metálicos n.c.o.p.,2599,3,0,3,,9942.46
EMP004581,"GTS-Thaumat XXI, S.A.","GTS-THAUMAT XXI, S.A.",Actividades de consultoría informática,6202,1,1,0,,393.25
EMP002706,"Guardian Industries Navarra, S.L.U.","GUARDIAN INDUSTRIES NAVARRA, S.L.U.",Fabricación de vidrio plano,2311,5,0,5,,19974.85
EMP000622,Guria S.A.,GURIA S.A.,Fabricación de productos de molinería,1061,2,0,2,,6191.01
EMP004823,"Hacienda Mutilva, S.L.","HACIENDA MUTILVA, S.L.",Restaurantes y puestos de comidas,5610,1,0,1,,1284.21
EMP004303,"Harivenasa, S.L.","HARIVENASA, S.L.",Actividades de preparación posterior a la cosecha,163,1,1,0,,393.25
EMP004679,"Hiberus Aplicaciones, S.L.U.","HIBERUS APLICACIONES, S.L.U.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,1,1,0,,2973.25
EMP000632,"Hidrostank, S.L.","HIDROSTANK, S.L.",Otras instalaciones en obras de construcción,4329,1,0,1,,5831.97
EMP004520,Highfield Montessori School,HIGHFIELD MONTESSORI SCHOOL,Educación preprimaria,8510,1,1,0,,
EMP004531,Hispasanté Asbl,HISPASANTÉ ASBL,Actividades de servicios sociales sin alojamiento para  personas mayores,8811,1,0,1,,
ORG000117,Hospital San Juan de Dios,HOSPITAL SAN JUAN DE DIOS,Actividades hospitalarias,8610,1,1,0,,
EMP002204,"Huntsman Avanced Materials (Spain), S.L.","HUNTSMAN AVANCED MATERIALS (SPAIN), S.L.",Fabricación de otros productos básicos de química inorgánica,2013,1,0,1,,393.25
EMP003158,"I3I Ingeniería Avanzada, S.L.","I3I INGENIERÍA AVANZADA, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,1,0,,663.69
EMP004707,"Iberdrola España, S.A.U.","IBERDROLA ESPAÑA, S.A.U.",Producción de energía hidroeléctrica,3515,2,1,1,,2063.73
EMP000657,"Iberfruta Muerza, S.A.","IBERFRUTA MUERZA, S.A.",Otro procesado y conservación de frutas y hortalizas,1039,1,1,0,,1293.25
EMP001963,"Ibérica de Suspensiones, S.L.",EGUZKIA NHK,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,4,0,4,1,50475.59
EMP000662,"Idifarma Desarrollo Farmacéutico, S.L.","IDIFARMA DESARROLLO FARMACÉUTICO, S.L.",Fabricación de especialidades farmacéuticas,2120,1,0,1,,11299.41
EMP001676,"Imel Consultoría Jurídico Tributaria, S.L.","IMEL CONSULTORÍA JURÍDICO TRIBUTARIA, S.L.",Otras actividades de consultoría de gestión empresarial,7022,1,0,1,,
EMP004615,"Indar Electric, S.L.","INDAR ELECTRIC, S.L.","Fabricación de motores, generadores y transformadores eléctricos",2711,1,0,1,,3695.39
EMP004061,"Indra BPO Servicios, S.L.U.","INDRA BPO SERVICIOS, S.L.U.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,4,0,4,,4989.16
EMP004659,"Industrial Augmented Reality, S.L.","INDUSTRIAL AUGMENTED REALITY, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,3,1,2,,23058.30
EMP000692,"Industrias Alimentarias de Navarra, S.A.U.","IAN, S.A.",Otro procesado y conservación de frutas y hortalizas,1039,1,0,1,,2709.58
EMP004700,"Industrias Barga, S.L.","INDUSTRIAS BARGA, S.L.","Forja, estampación y embutición de metales; metalurgia de polvos",2550,2,0,2,,7200.00
EMP000683,"Industrias Cárnicas Navarras, S.A.",INCANASA GRUPO ALIMENTARIO ARGAL,Elaboración de productos cárnicos y de volatería,1013,1,0,1,,2947.01
EMP002919,"Industrias Mecánicas Microlan, S.L.",MICROLAN,Fabricación de maquinaria para la industria metalúrgica,2891,4,3,1,,8434.44
EMP001971,"Informática El Corte Inglés, S.A.",IECISA,"Comercio al por mayor de ordenadores, equipos periféricos y programas informáticos",4651,2,1,1,,11083.22
EMP004815,"Informes Técnicos y Valoraciones Generales, S.L.",INVAL ENERGIA,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,0,1,,2154.21
EMP002486,"Ingeniería Navarra Mecánica, S.L.U.",INGENAME,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,3,0,3,,3860.79
EMP003676,"Ingeteam Power Technology, S.A.","INGETEAM POWER TECHNOLOGY, S.A.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,13,6,7,,42957.04
EMP004712,"Ingetritec, S.L.","INGETRITEC, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,1,0,,393.25
EMP000730,"Iniciativas Innovadoras, S.A.L.","INICIATIVAS INNOVADORAS, S.A.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,0,1,,5387.97
EMP004551,"Innavatic, S.I.","INNAVATIC, S.I.",Edición de otros programas informáticos,5829,1,0,1,,4787.97
EMP004704,"Innothalamus, S.L.","INNOTHALAMUS, S.L.",Actividades de programación informática,163,1,0,1,,5385.52
INS000100,Instituto de Turismo de España,TURESPAÑA,Asuntos exteriores,8421,4,0,4,,
EMP002795,"Instituto Navarro de Oposiciones, S.L.",INOP,Educación postsecundaria no terciaria,8541,1,0,1,,533.49
EMP003640,Instituto Navarro de Tecnologías e,"INTIA, S.A.",Actividades generales de la Administración Pública,8411,8,1,7,,61797.99
ORG000381,"Instituto Tecnológico de Costa Rica, Sede Regional",CETEC,Actividades de investigación,8030,1,0,1,,
EMP002399,"Integración de Estructuras Metálicas, S.L.","INTEGRACIÓN DE ESTRUCTURAS METÁLICAS, S.L.",Depósito y almacenamiento,5210,1,1,0,,1203.25
EMP000746,"Integración de Servicios Navarros, S.L.",ISN,Otras actividades de limpieza,8129,15,2,13,,72165.58
EMP002501,"Integración de Servicios Nuevos, S.L.","ISNU INTEGRACIÓN DE SERVICIOS NUEVOS, S.L.",Otras actividades de limpieza,8129,2,2,0,,3336.50
EMP000747,"Integralia Movilidad, S.L.","INTEGRALIA MOVILIDAD, S.L.",Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,2920,1,0,1,,6187.95
EMP003983,"Intelligent Sistem Vitale, S.L.","INTELLIGENT SISTEM VITALE, S.L.",Edición de otros programas informáticos,5829,1,1,0,,393.25
EMP002103,"Iore Consultores Jurídicos, S.L.","IORE CONSULTORES JURÍDICOS, S.L.",Actividades jurídicas,6910,2,0,2,,9654.36
EMP000762,"Irumold, S.L.","IRUMOLD, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,3,0,3,,20030.96
EMP000139,"Isringhausen Spain, S.L.U.","ISRINGHAUSEN SPAIN, S.L.U.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,1,1,0,,393.25
EMP004749,"ISS Facility Services Multiservicios Integrales,","ISS FACILITY SERVICES MULTISERVICIOS INTEGRALES,",Servicios integrales a edificios e instalaciones,8110,4,2,2,,2353.08
EMP003597,"Iturbrok, S.L.","ITURBROK, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,0,1,,10099.41
EMP002666,"J&A Garrigues, S.L.P.","J&A GARRIGUES, S.L.P.",Actividades jurídicas,6910,3,1,2,,1571.79
EMP004706,"JG Ingenieros, S.A.","JG INGENIEROS, S.A.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,1,0,,724.50
EMP003229,"Job Accommodation, S.L.","JOB ACCOMMODATION, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,1,1,,786.50
EMP000792,"Jofemar, S.A.","JOFEMAR, S.A.",Fabricación de otra maquinaria de uso general n.c.o.p.,2829,2,0,2,,6933.58
EMP004791,"Julián Goñi e Hijos, S.L.","JULIÁN GOÑI E HIJOS, S.L.",Fabricación de envases y embalajes de madera,1624,1,0,1,,
EMP004736,"Kiva Foods, S.L.","KIVA FOODS, S.L.",Elaboración de otros productos alimenticios n.c.o.p.,1089,2,0,2,,0.00
EMP004809,"Knet Comunicaciones, S.L.","KNET COMUNICACIONES, S.L.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,1,0,1,,393.25
EMP001682,"KPMG, S.A.","KPMG, S.A.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,6,0,6,,26377.80
EMP003913,"Kunak Technologies, S.L.","KUNAK TECHNOLOGIES, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,1,0,,393.25
EMP003293,"KYB Advanced Manufacturing Spain, S.A.",KYB AMS,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,0,2,,22254.71
EMP003262,KYB Europe Headquarters GMBH,KYBEH EUROPE HEADQUARTERS GMBH,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,9,3,6,,73264.77
EMP000799,"KYB Steering Spain, S.A.",KAYABA,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,,0,0,1,-5384.67
EMP000092,"KYB Suspensions Europe, S.A.","KYBSE SUSPENSIONS EUROPE, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,1,0,1,,12564.52
EMP002753,"L Sol Soluciones Energéticas, S.L.",LSOL,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,1,0,,1683.25
EMP000820,"La Información, S.A.","LA INFORMACIÓN, S.A.",Impresión de periódicos,1811,2,1,1,,3004.26
EMP000827,"Laboratorios Cinfa, S.A.","LABORATORIOS CINFA, S.A.",Fabricación de especialidades farmacéuticas,2120,16,1,15,,134092.57
EMP004715,"Lagun Consulting, S.L.","LAGUN CONSULTING, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,
EMP000839,"Largoiko, S.L.L.","LARGOIKO, S.L.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,6,1,5,,38369.42
EMP003214,"Layos Asesoría, S.L.L.","LAYOS ASESORÍA, S.L.L.",Actividades jurídicas,6910,1,1,0,,393.25
EMP004682,Leitzaldeko Gizarte Zertbitzuen Mankomunitatea,LEITZALDEKO GIZARTE ZERTBITZUEN MANKOMUNITATEA,Actividades generales de la Administración Pública,8411,1,1,0,,
EMP004399,"Lesmarc Distribuciones, S.L.","LESMARC DISTRIBUCIONES, S.L.",Transporte de mercancías por carretera,4941,6,0,6,,26110.14
EMP000866,"Liebherr Industrias Metálicas, S.A.","LIEBHERR INDUSTRIAS METÁLICAS, S.A.",Fabricación de maquinaria de elevación y manipulación,2822,6,1,5,,33044.51
EMP004198,"Lifeak, Job Accommodation Solutions for Life, S.L.","LIFEAK, JOB ACCOMMODATION SOLUTIONS FOR LIFE, S.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,20,7,13,,46682.47
EMP001038,"Limagrain Iberica, S.A.",SENASA,"Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",4621,1,1,0,,3186.50
EMP000882,"Loxin 2002, S.L.","LOXIN 2002, S.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,1,0,1,,16153.56
EMP000892,"M. Torres Diseños Industriales, S.A.U.",M. TORRES,Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,23,3,20,,105486.28
EMP000897,"Magnesitas Navarras, S.A.","MAGNESITAS NAVARRAS, S.A.",Extracción de otros minerales metálicos no férreos,729,3,1,2,,17065.56
EMP004762,"Mahei Engineering, S.L.","MAHEI ENGINEERING, S.L.",Actividades de programación informática,163,1,1,0,,393.25
EMP000899,"Maier Navarra, S.L.U.","MAIER NAVARRA, S.L.U.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,9,4,5,,39464.40
EMP004438,"Malakistan Republic, S.L.U.","MALAKISTAN REPUBLIC, S.L.U.",Actividades de consultoría informática,6202,2,2,0,,1573.00
EMP004672,"Mancomunidad de Servicios Sociales Alsasua,","MANCOMUNIDAD DE SERVICIOS SOCIALES ALSASUA,",Actividades generales de la Administración Pública,8411,1,1,0,,
EMP004532,Mancomunidad de Servicios Sociales de Huarte y,MANCOMUNIDAD DE SERVICIOS SOCIALES DE HUARTE Y,Actividades de servicios sociales sin alojamiento para  personas con discapacidad,8812,1,1,0,,
INS000289,Mancomunidad de Servicios Ultzanueta,MANCOMUNIDAD DE SERVICIOS ULTZANUETA,Actividades generales de la Administración Pública,8411,2,0,2,,9811.26
INS000290,"Mancomunidad de SS BB de Ansoain, Berriozar,","MANCOMUNIDAD DE SS BB DE ANSOAIN, BERRIOZAR,",Actividades de servicios sociales sin alojamiento para  personas mayores,8811,1,1,0,,
EMP003434,"Mapfre Seguros Generales, S.A.","MAPFRE SEGUROS GENERALES, S.A.",Seguros de vida,6511,,0,0,1,
EMP000913,"Mapsa, S.Coop.","MAPSA, S.COOP.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,6,3,3,,28446.40
EMP004737,"Máster Navarra Automatismos, S.L.","MÁSTER NAVARRA AUTOMATISMOS, S.L.",Otras actividades de construcción especializada n.c.o.p.,4399,1,0,1,1,2691.49
EMP001738,"Matadero de Pamplona, S.A.","MATADERO DE PAMPLONA, S.A.",Comercio al por mayor de carne y productos cárnicos,4632,,0,0,1,278.30
EMP000822,"Matadero La Protectora, S.A.","MATADERO LA PROTECTORA, S.A.",Procesado y conservación de carne,1011,6,0,6,,26123.84
EMP000935,"Mecanizaciones Aeronáuticas, S.A.","MECANIZACIONES AERONÁUTICAS, S.A.",Construcción aeronáutica y espacial y su maquinaria,3030,1,1,0,,393.25
EMP000940,"Mecanizados Industria Auxiliar, S.A.",MIASA,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,,0,0,2,1203.95
EMP000953,"Mercedes Benz España, S.A.U.","MERCEDES BENZ ESPAÑA, S.A.U.",Fabricación de vehículos de motor,2910,1,0,1,,3213.85
EMP004825,"Messuprel, S.L.","MESSUPREL, S.L.",Otras actividades de limpieza industrial y de edificios,8122,1,0,1,,5387.97
EMP000955,"Metalúrgicas Pabur, S.L.","METALÚRGICAS PABUR, S.L.",Fabricación de otros productos metálicos n.c.o.p.,2599,1,0,1,,1784.21
EMP000957,"Metronics Technologies, S.L.","METRONICS TECHNOLOGIES, S.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,2,2,0,,2936.50
EMP004902,"MGS Seguros y Reaseguros, S.A.","MGS SEGUROS Y REASEGUROS, S.A.",Seguros distintos de los seguros de vida,6512,,0,0,1,278.30
EMP004237,"Michelín España-Portugal, S.A.","MICHELÍN ESPAÑA-PORTUGAL, S.A.",Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos,2211,1,0,1,,785.29
INS000166,Ministerio de Asuntos Exteriores y de Cooperación,MAEC,Actividades generales de la Administración Pública,8411,10,1,9,,
