No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
ORG000488,Asociación de Ayuda a Niños con Cáncer de Navarra,ADANO,Otras actividades asociativas n.c.o.p.,9499,2,1,1,,1623.73
ORG000029,Asociación de Consumidores de Navarra Irache,IRACHE,Otras actividades asociativas n.c.o.p.,9499,3,0,3,,35335.07
ORG000501,Asociación de Daño Cerebral de Navarra,ADACEN,Otras actividades asociativas n.c.o.p.,9499,2,1,1,,
ORG000532,Asociación de Esclerosis Múltiple de Navarra,ADEMNA,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,158.76
ORG000503,"Asociación de Fibromialgia, Síndrome de Fatiga",AFINA,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000556,Asociación de Gitanos de Navarra La Majarí,ASOCIACIÓN DE GITANOS DE NAVARRA LA MAJARÍ,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000011,Asociación de Industria de Navarra,AIN,Otras actividades de consultoría de gestión empresarial,7022,2,0,2,,20200.03
ORG000534,Asociación Dianova España,ASOCIACIÓN DIANOVA ESPAÑA,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000453,Asociación Eunate de Familias de Personas,EUNATE,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000165,Asociación Hegoak Elkartea,ASOCIACIÓN HEGOAK ELKARTEA,Otras actividades asociativas n.c.o.p.,9499,2,2,0,,
ORG000490,Asociación Itxaropen Gune - Lugar de Esperanza,AIGLE,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000555,Asociación Juvenil Yoar,ASOCIACIÓN JUVENIL YOAR,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000523,Asociación Lantxotegi Elkartea,ASOCIACIÓN LANTXOTEGI ELKARTEA,Otra educación n.c.o.p.,8559,3,3,0,,0.00
ORG000549,Asociación Mugarik Gabe Nafarroa,ASOCIACIÓN MUGARIK GABE NAFARROA,Otras actividades de apoyo a las empresas n.c.o.p.,8299,1,1,0,,
ORG000173,Asociación Navarra de Cáncer de Mama,SARAY,Otras actividades sanitarias,8690,1,1,0,,
ORG000035,Asociación Navarra de Empresas Laborales,ANEL,Otras actividades asociativas n.c.o.p.,9499,1,0,1,,2773.97
ORG000019,"Asociación Navarra de Informática Municipal, S.A.",ANIMSA,Actividades de consultoría informática,6202,2,0,2,,12395.94
ORG000021,Asociación Navarra de Parkinson,ANAPAR,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000298,Asociación Navarra de Talleres de Reparación,ASOCIACIÓN.  NAV.TALLERES REPA,Actividades de organizaciones empresariales y patronales,9411,,0,0,1,
ORG000592,Asociación Navarra en Favor de las Personas con,ANFAS,Actividades de servicios sociales sin alojamiento para  personas con discapacidad,8812,1,1,0,,
ORG000022,Asociación Navarra Nuevo Futuro,ASOCIACIÓN NAVARRA NUEVO FUTURO,Otras actividades de asistencia en establecimientos residenciales,8790,2,2,0,,
ORG000533,Asociación Navarra para la Formación y el Empleo,ANAFE,Actividades de organizaciones políticas,9492,1,1,0,,
ORG000261,"Asociación Navarra para la Investigación,",ANTOX,Otras actividades sanitarias,8690,1,1,0,,
ORG000023,Asociación Navarra Sin Fronteras,SIN FRONTERAS,Otras actividades asociativas n.c.o.p.,9499,2,2,0,,
ORG000548,Asociación Sare,SARE,Otras actividades de servicios sociales sin alojamiento n.c.o.p.,8899,1,1,0,,
ORG000543,Asociación SEI,ASOCIACIÓN SEI,Otras actividades de apoyo a las empresas n.c.o.p.,8299,4,2,2,,1212.81
ORG000563,Asociación Síndrome de Down de Navarra,ASOCIACIÓN SÍNDROME DE DOWN DE NAVARRA,"Regulación de las actividades sanitarias, educativas y culturales y otros servicios sociales, excepto Seguridad Social",8412,1,1,0,,
ORG000496,Asociación Socio-Educativa Etxabakoitz Bizirik,ASOCIACIÓN SOCIO-EDUCATIVA ETXABAKOITZ BIZIRIK,Otras actividades asociativas n.c.o.p.,9499,1,1,0,,
ORG000529,Asociación Umetxea-Sanduzelai,ASOCIACIÓN UMETXEA-SANDUZELAI,Otra educación n.c.o.p.,8559,2,2,0,,
ORG000300,Asociación Urtxintxa- San,ASOCIACIÓN URTXINTXA- SAN,Otras actividades asociativas n.c.o.p.,9499,,0,0,1,0.00
EMP003956,"Asur Crédito, S.L.","ASUR CRÉDITO, S.L.",Otras actividades de consultoría de gestión empresarial,7022,2,0,2,,17798.82
